osm_id,crossing,highway,traffic_signals:direction,barrier,amenity,name,name:en,camera:type,man_made,surveillance,surveillance:type,surveillance:zone,historic,button_operated,traffic_signals:sound,traffic_signals:vibration,addr:housenumber,addr:street,cuisine,addr:city,addr:city:en,addr:country,addr:postcode,building,internet_access,level,opening_hours,shop,smoking,crossing_ref,entrance,addr:street:en,bicycle,crossing:island,segregated,bench,bin,bus,covered,lit,network,operator,passenger_information_display,public_transport,public_transport:version,ref,shelter,wheelchair,check_date:bench,int_name,outdoor_seating,phone,kerb,consulate,contact:phone,country,diplomatic,office,payment:cash,craft,website,delivery,takeaway,name:mk,email,tourism,name:fr,payment:coins,payment:credit_cards,payment:debit_cards,capacity,diet:vegan,old_name,leisure,atm,healthcare,opening_hours:covid19,place,traffic_calming,diet:vegetarian,name:ru,religion,bicycle_parking,drive_through,contact:facebook,service:bicycle:pump,service:bicycle:tools,direction,fee,toilets,waste,backrest,material,drinking_water,access,parking,surface,sidewalk,lanes,maxspeed,landuse,oneway,smoothness,source:width,width,lanes:backward,lanes:forward,turn:lanes:backward,fax,wikidata,wikipedia,fence_type,handrail,incline,ramp,step_count,lane_markings,addr:housename,alt_name,building:levels,government,amenity_1,height,levels,brand,repair,parking:lane:both,turn:lanes:forward,parking:lane:both:perpendicular,service,noname,junction,contact:website,embassy,name:pl,target,maxspeed:type,sidewalk:left,sidewalk:right,name:sl,brand:wikidata,brand:wikipedia,compressed_air,fuel:biodiesel,fuel:diesel,fuel:octane_95,fuel:octane_98,payment:diners_club,payment:mastercard,payment:notes,payment:visa,roof:shape,name:de,name:tr,designation,roof:levels,internet_access:fee,layer,supervised,operator:en,foot,tunnel,stars,cycleway,cycleway:both:surface,footway,boundary,cycleway:right:bicycle,cycleway:track:right,lanes:bus,maxspeed:advisory,parking:lane:right,addr:unit,cycleway:surface,footway:surface,sport,city,street,is_in,payment:maestro,wifi,automated,description,note,leaf_type,natural,motor_vehicle,parking:lane:both:parallel,hoops,hoops:nets,from,roundtrip,route,to,type,restriction,admin_level,ISO3166-2,duration,interval,name:lt,route_master,reservation,WKT
"170654261","traffic_signals","traffic_signals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4116371 41.9953859)"
"170662453",,"traffic_signals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4169139 42.0054888)"
"170711446",,"traffic_signals","forward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4218981 42.0028853)"
"287496135","uncontrolled","crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4189447 42.001708)"
"287496137","uncontrolled","crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4182009 42.0008408)"
"307971497","uncontrolled","crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4226844 42.0015519)"
"309896743",,,,"lift_gate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4212319 42.0070647)"
"310289760",,,,,"cafe","Broz Cafe","(Still there)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4167029 42.0001541)"
"330380719",,,,,,,,"fixed","surveillance","public","camera","town",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4098249 41.993621)"
"367860262",,,,,,"Гоце Делчев",,,,,,,"monument",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4233737 42.0032812)"
"367860771","traffic_signals","crossing",,,,,,,,,,,,"no","no","no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4187202 42.0045636)"
"504941599",,,,,,"Карма",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4172989 41.9995974)"
"534938708","traffic_signals","traffic_signals",,,,,,,,,,,,"no","no","no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4132013 42.0004556)"
"1355292490",,,,,"cafe","Кафе Змија",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.417262 42.0009888)"
"1355306911",,,,,"cafe","Кафе Филипос",,,,,,,,,,,"2","Благој Давков","coffee_shop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4175044 42.0007963)"
"1355330790",,,,,"pub","Кафе Кино Карпош",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4175412 42.0011509)"
"1355336585",,,,,"fast_food","Сендвичара Попе",,,,,,,,,,,,,"sandwich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.4173939 42.0008922)"
"1372964701",,,,,,,,,,,,,,,,,"36","Дебарца",,"Cкoпje","Skopje","MK","1000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (21.421693 41.9993565)"
